"","TimePeriod","position","water_year","Node","Species","Life_Stage","Hydraulic","bottom_type","Suitability_Class","Type","TimePercentage"
"1","critical","LOB",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","Low",30.9966891197625
"2","critical","LOB",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","Medium",30.3915972142939
"3","critical","LOB",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","High",27.7999771663432
"4","critical","LOB",2011,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",8.1511839708561
"5","critical","LOB",2011,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",8.02595628415301
"6","critical","LOB",2011,"11101250","Cladophora","Adult","Depth","Soft","Low","High",7.02413479052823
"7","critical","LOB",2012,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",1.44977168949772
"8","critical","LOB",2012,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",1.42694063926941
"9","critical","LOB",2012,"11101250","Cladophora","Adult","Depth","Soft","Low","High",0.89041095890411
"10","critical","LOB",2013,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",0.867579908675799
"11","critical","LOB",2013,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",0.810502283105023
"12","critical","LOB",2013,"11101250","Cladophora","Adult","Depth","Soft","Low","High",0.468036529680365
"13","critical","LOB",2014,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",1.43835616438356
"14","critical","LOB",2014,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",1.39269406392694
"15","critical","LOB",2014,"11101250","Cladophora","Adult","Depth","Soft","Low","High",1.01598173515982
"16","critical","LOB",2015,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",1.12704918032787
"17","critical","LOB",2015,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",0.990437158469945
"18","critical","LOB",2015,"11101250","Cladophora","Adult","Depth","Soft","Low","High",0.626138433515483
"19","critical","LOB",2016,"11101250","Cladophora","Adult","Depth","Soft","Low","Low",13.8698630136986
"20","critical","LOB",2016,"11101250","Cladophora","Adult","Depth","Soft","Low","Medium",13.5844748858447
"21","critical","LOB",2016,"11101250","Cladophora","Adult","Depth","Soft","Low","High",12.7397260273973
"22","critical","MC",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","Low",99.3149902956959
"23","critical","MC",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","Medium",93.3097385546295
"24","critical","MC",2010,"11101250","Cladophora","Adult","Depth","Soft","Partial","High",43.635118164174
"25","critical","MC",2011,"11101250","Cladophora","Adult","Depth","Soft","High","Low",99.8292349726776
"26","critical","MC",2011,"11101250","Cladophora","Adult","Depth","Soft","High","Medium",96.9148451730419
