"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",1,"F300","MaxTemp","Steelhead","Smolts","F300_MaxTemp",11,0,100,"Low"
"2",5,"F319","MaxTemp","Steelhead","Smolts","F319_MaxTemp",6,0,100,"Low"
"3",9,"F34D","MaxTemp","Steelhead","Smolts","F34D_MaxTemp",6,0,100,"Low"
"4",13,"F37B.Hard","MaxTemp","Steelhead","Smolts","F37B.Hard_MaxTemp",15,0,100,"Low"
"5",17,"F37B.Soft","MaxTemp","Steelhead","Smolts","F37B.Soft_MaxTemp",15,0,100,"Low"
"6",21,"F45B","MaxTemp","Steelhead","Smolts","F45B_MaxTemp",19,0,100,"Low"
"7",25,"F57C","MaxTemp","Steelhead","Smolts","F57C_MaxTemp",11,0,100,"Low"
"8",29,"GLEN","MaxTemp","Steelhead","Smolts","GLEN_MaxTemp",11,0,100,"Low"
"9",33,"LA_20_2","MaxTemp","Steelhead","Smolts","LA_20_2_MaxTemp",11,0,100,"Low"
"10",37,"LA11","MaxTemp","Steelhead","Smolts","LA11_MaxTemp",11,0,100,"Low"
"11",41,"LA13","MaxTemp","Steelhead","Smolts","LA13_MaxTemp",11,0,100,"Low"
"12",45,"LA14","MaxTemp","Steelhead","Smolts","LA14_MaxTemp",11,0,100,"Low"
"13",49,"LA2","MaxTemp","Steelhead","Smolts","LA2_MaxTemp",6,0,100,"Low"
"14",53,"LA20","MaxTemp","Steelhead","Smolts","LA20_MaxTemp",11,0,100,"Low"
"15",57,"LA3","MaxTemp","Steelhead","Smolts","LA3_MaxTemp",6,0,100,"Low"
"16",61,"LA8","MaxTemp","Steelhead","Smolts","LA8_MaxTemp",6,0,100,"Low"
