"","TimePeriod","position","water_year","Node","Season","TimePercentage","Species","Life_Stage","Hydraulic","bottom_type","WYT","Suitability_Class"
"1","critical","LOB",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"2","critical","LOB",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"3","critical","LOB",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"4","critical","LOB",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"5","critical","LOB",2014,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"6","critical","LOB",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"7","critical","LOB",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"8","critical","MC",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"9","critical","MC",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"10","critical","MC",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"11","critical","MC",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"12","critical","MC",2014,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"13","critical","MC",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"14","critical","MC",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"15","critical","ROB",2010,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"16","critical","ROB",2011,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","WET","High"
"17","critical","ROB",2012,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"18","critical","ROB",2013,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"19","critical","ROB",2014,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"20","critical","ROB",2015,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"21","critical","ROB",2016,"11101250","Seasonal",100,"Steelhead","Migration","Velocity","Soft","DRY","High"
"22","critical","LOB",2010,"F300","Seasonal",99.312106918239,"Steelhead","Migration","Velocity","Soft","WET","High"
"23","critical","LOB",2011,"F300","Seasonal",99.7848200312989,"Steelhead","Migration","Velocity","Soft","WET","High"
"24","critical","LOB",2012,"F300","Seasonal",99.9410377358491,"Steelhead","Migration","Velocity","Soft","DRY","High"
"25","critical","LOB",2013,"F300","Seasonal",99.7838050314465,"Steelhead","Migration","Velocity","Soft","DRY","High"
"26","critical","LOB",2014,"F300","Seasonal",99.8034591194968,"Steelhead","Migration","Velocity","Soft","DRY","High"
"27","critical","LOB",2015,"F300","Seasonal",99.7065727699531,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"28","critical","LOB",2016,"F300","Seasonal",99.3514150943396,"Steelhead","Migration","Velocity","Soft","DRY","High"
"29","critical","MC",2010,"F300","Seasonal",97.2877358490566,"Steelhead","Migration","Velocity","Soft","WET","High"
"30","critical","MC",2011,"F300","Seasonal",99.1588419405321,"Steelhead","Migration","Velocity","Soft","WET","High"
"31","critical","MC",2012,"F300","Seasonal",99.5479559748428,"Steelhead","Migration","Velocity","Soft","DRY","High"
"32","critical","MC",2013,"F300","Seasonal",99.5086477987421,"Steelhead","Migration","Velocity","Soft","DRY","High"
"33","critical","MC",2014,"F300","Seasonal",99.2531446540881,"Steelhead","Migration","Velocity","Soft","DRY","High"
"34","critical","MC",2015,"F300","Seasonal",99.3153364632238,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"35","critical","MC",2016,"F300","Seasonal",98.1132075471698,"Steelhead","Migration","Velocity","Soft","DRY","High"
"36","critical","ROB",2010,"F300","Seasonal",99.312106918239,"Steelhead","Migration","Velocity","Soft","WET","High"
"37","critical","ROB",2011,"F300","Seasonal",99.7848200312989,"Steelhead","Migration","Velocity","Soft","WET","High"
"38","critical","ROB",2012,"F300","Seasonal",99.9410377358491,"Steelhead","Migration","Velocity","Soft","DRY","High"
"39","critical","ROB",2013,"F300","Seasonal",99.7838050314465,"Steelhead","Migration","Velocity","Soft","DRY","High"
"40","critical","ROB",2014,"F300","Seasonal",99.8034591194968,"Steelhead","Migration","Velocity","Soft","DRY","High"
"41","critical","ROB",2015,"F300","Seasonal",99.7065727699531,"Steelhead","Migration","Velocity","Soft","MODERATE","High"
"42","critical","ROB",2016,"F300","Seasonal",99.3514150943396,"Steelhead","Migration","Velocity","Soft","DRY","High"
"43","critical","LOB",2010,"F319","Seasonal",0,"Steelhead","Migration","Velocity","Concrete","WET","Low"
"44","critical","LOB",2011,"F319","Seasonal",0,"Steelhead","Migration","Velocity","Concrete","WET","Low"
