"","X","Node","Metric","No_of_Weeks","Species","Life_Stage","Low","Med","High","SuitabilityClass"
"1",1,"F300","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"2",5,"F319","MaxTemp",6,"SAS","Juvenile",0,0,0,"Low"
"3",9,"F34D","MaxTemp",6,"SAS","Juvenile",0,0,0,"Low"
"4",13,"F37B.Hard","MaxTemp",15,"SAS","Juvenile",93.3333333333333,80,6.66666666666667,"Partial"
"5",17,"F37B.Soft","MaxTemp",15,"SAS","Juvenile",100,100,13.3333333333333,"Partial"
"6",21,"F45B","MaxTemp",19,"SAS","Juvenile",84.2105263157895,47.3684210526316,0,"Partial"
"7",25,"F57C","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"8",29,"GLEN","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"9",33,"LA_20_2","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"10",37,"LA11","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"11",41,"LA13","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"12",45,"LA14","MaxTemp",11,"SAS","Juvenile",0,0,0,"Low"
"13",49,"LA2","MaxTemp",6,"SAS","Juvenile",0,0,0,"Low"
"14",53,"LA20","MaxTemp",11,"SAS","Juvenile",100,0,0,"Partial"
"15",57,"LA3","MaxTemp",6,"SAS","Juvenile",0,0,0,"Low"
"16",61,"LA8","MaxTemp",6,"SAS","Juvenile",0,0,0,"Low"
