"","X","Species","Life_Stage","Hydraulic","TimePeriod","position","Node","Overall_Class","pos_code"
"1",1,"Cladophora","Adult","Depth","critical","LOB","11101250","Low","11101250_LOB"
"2",2,"Cladophora","Adult","Depth","critical","LOB","F300","Low","F300_LOB"
"3",3,"Cladophora","Adult","Depth","critical","LOB","F37BLow","Low","F37BLow_LOB"
"4",4,"Cladophora","Adult","Depth","critical","LOB","F57C","High","F57C_LOB"
"5",5,"Cladophora","Adult","Depth","critical","LOB","GLEN","High","GLEN_LOB"
"6",6,"Cladophora","Adult","Depth","critical","LOB","LA11","Low","LA11_LOB"
"7",7,"Cladophora","Adult","Depth","critical","LOB","LA14","High","LA14_LOB"
"8",8,"Cladophora","Adult","Depth","critical","LOB","LA2","Low","LA2_LOB"
"9",9,"Cladophora","Adult","Depth","critical","LOB","LA20","Low","LA20_LOB"
"10",10,"Cladophora","Adult","Depth","critical","LOB","LA202","Low","LA202_LOB"
"11",11,"Cladophora","Adult","Depth","critical","LOB","LA3","High","LA3_LOB"
"12",12,"Cladophora","Adult","Depth","critical","LOB","LA8","High","LA8_LOB"
"13",13,"Cladophora","Adult","Depth","critical","MC","11101250","High","11101250_MC"
"14",14,"Cladophora","Adult","Depth","critical","MC","F300","High","F300_MC"
"15",15,"Cladophora","Adult","Depth","critical","MC","F319","High","F319_MC"
"16",16,"Cladophora","Adult","Depth","critical","MC","F34D","High","F34D_MC"
"17",17,"Cladophora","Adult","Depth","critical","MC","F37BHigh","Low","F37BHigh_MC"
"18",18,"Cladophora","Adult","Depth","critical","MC","F37BLow","Low","F37BLow_MC"
"19",19,"Cladophora","Adult","Depth","critical","MC","F45B","Low","F45B_MC"
"20",20,"Cladophora","Adult","Depth","critical","MC","F57C","High","F57C_MC"
"21",21,"Cladophora","Adult","Depth","critical","MC","GLEN","Low","GLEN_MC"
"22",22,"Cladophora","Adult","Depth","critical","MC","LA1","High","LA1_MC"
"23",23,"Cladophora","Adult","Depth","critical","MC","LA11","High","LA11_MC"
"24",24,"Cladophora","Adult","Depth","critical","MC","LA13","High","LA13_MC"
"25",25,"Cladophora","Adult","Depth","critical","MC","LA14","Low","LA14_MC"
"26",26,"Cladophora","Adult","Depth","critical","MC","LA2","Partial","LA2_MC"
"27",27,"Cladophora","Adult","Depth","critical","MC","LA20","High","LA20_MC"
"28",28,"Cladophora","Adult","Depth","critical","MC","LA202","High","LA202_MC"
"29",29,"Cladophora","Adult","Depth","critical","MC","LA3","High","LA3_MC"
"30",30,"Cladophora","Adult","Depth","critical","MC","LA8","High","LA8_MC"
"31",31,"Cladophora","Adult","Depth","critical","ROB","11101250","Low","11101250_ROB"
"32",32,"Cladophora","Adult","Depth","critical","ROB","F300","Low","F300_ROB"
"33",33,"Cladophora","Adult","Depth","critical","ROB","F37BLow","Low","F37BLow_ROB"
"34",34,"Cladophora","Adult","Depth","critical","ROB","F57C","Low","F57C_ROB"
"35",35,"Cladophora","Adult","Depth","critical","ROB","GLEN","High","GLEN_ROB"
