"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",3,"F300","MinTemp","Typha","Germination","F300_MinTemp",11,100,0,"High"
"2",7,"F319","MinTemp","Typha","Germination","F319_MinTemp",6,100,0,"High"
"3",11,"F34D","MinTemp","Typha","Germination","F34D_MinTemp",6,100,0,"High"
"4",15,"F37B.Hard","MinTemp","Typha","Germination","F37B.Hard_MinTemp",15,80,20,"High"
"5",19,"F37B.Soft","MinTemp","Typha","Germination","F37B.Soft_MinTemp",15,86.6666666666667,13.3333333333333,"High"
"6",23,"F45B","MinTemp","Typha","Germination","F45B_MinTemp",19,31.5789473684211,68.4210526315789,"Partial"
"7",27,"F57C","MinTemp","Typha","Germination","F57C_MinTemp",11,100,0,"High"
"8",31,"GLEN","MinTemp","Typha","Germination","GLEN_MinTemp",11,100,0,"High"
"9",35,"LA_20_2","MinTemp","Typha","Germination","LA_20_2_MinTemp",11,100,0,"High"
"10",39,"LA11","MinTemp","Typha","Germination","LA11_MinTemp",11,100,0,"High"
"11",43,"LA13","MinTemp","Typha","Germination","LA13_MinTemp",11,100,0,"High"
"12",47,"LA14","MinTemp","Typha","Germination","LA14_MinTemp",11,100,0,"High"
"13",51,"LA2","MinTemp","Typha","Germination","LA2_MinTemp",6,100,0,"High"
"14",55,"LA20","MinTemp","Typha","Germination","LA20_MinTemp",11,100,0,"High"
"15",59,"LA3","MinTemp","Typha","Germination","LA3_MinTemp",6,100,0,"High"
"16",63,"LA8","MinTemp","Typha","Germination","LA8_MinTemp",6,100,0,"High"
