"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",3,"F300","MinTemp","SAS","Fry","F300_MinTemp",11,90.9090909090909,9.09090909090909,"High"
"2",7,"F319","MinTemp","SAS","Fry","F319_MinTemp",6,100,0,"High"
"3",11,"F34D","MinTemp","SAS","Fry","F34D_MinTemp",6,83.3333333333333,16.6666666666667,"High"
"4",15,"F37B.Hard","MinTemp","SAS","Fry","F37B.Hard_MinTemp",15,0,100,"Low"
"5",19,"F37B.Soft","MinTemp","SAS","Fry","F37B.Soft_MinTemp",15,0,100,"Low"
"6",23,"F45B","MinTemp","SAS","Fry","F45B_MinTemp",19,0,100,"Low"
"7",27,"F57C","MinTemp","SAS","Fry","F57C_MinTemp",11,72.7272727272727,27.2727272727273,"Partial"
"8",31,"GLEN","MinTemp","SAS","Fry","GLEN_MinTemp",11,72.7272727272727,27.2727272727273,"Partial"
"9",35,"LA_20_2","MinTemp","SAS","Fry","LA_20_2_MinTemp",11,100,0,"High"
"10",39,"LA11","MinTemp","SAS","Fry","LA11_MinTemp",11,72.7272727272727,27.2727272727273,"Partial"
"11",43,"LA13","MinTemp","SAS","Fry","LA13_MinTemp",11,72.7272727272727,27.2727272727273,"Partial"
"12",47,"LA14","MinTemp","SAS","Fry","LA14_MinTemp",11,72.7272727272727,27.2727272727273,"Partial"
"13",51,"LA2","MinTemp","SAS","Fry","LA2_MinTemp",6,100,0,"High"
"14",55,"LA20","MinTemp","SAS","Fry","LA20_MinTemp",11,54.5454545454545,45.4545454545455,"Partial"
"15",59,"LA3","MinTemp","SAS","Fry","LA3_MinTemp",6,100,0,"High"
"16",63,"LA8","MinTemp","SAS","Fry","LA8_MinTemp",6,83.3333333333333,16.6666666666667,"High"
