"","X","Node","Metric","Species","Life_Stage","Node_Metric","No_of_Weeks","Suitable","Unsuitable","SuitabilityClass"
"1",3,"F300","MinTemp","Steelhead","Smolts","F300_MinTemp",11,0,100,"Low"
"2",7,"F319","MinTemp","Steelhead","Smolts","F319_MinTemp",6,0,100,"Low"
"3",11,"F34D","MinTemp","Steelhead","Smolts","F34D_MinTemp",6,0,100,"Low"
"4",15,"F37B.Hard","MinTemp","Steelhead","Smolts","F37B.Hard_MinTemp",15,0,100,"Low"
"5",19,"F37B.Soft","MinTemp","Steelhead","Smolts","F37B.Soft_MinTemp",15,0,100,"Low"
"6",23,"F45B","MinTemp","Steelhead","Smolts","F45B_MinTemp",19,5.26315789473684,94.7368421052632,"Low"
"7",27,"F57C","MinTemp","Steelhead","Smolts","F57C_MinTemp",11,0,100,"Low"
"8",31,"GLEN","MinTemp","Steelhead","Smolts","GLEN_MinTemp",11,0,100,"Low"
"9",35,"LA_20_2","MinTemp","Steelhead","Smolts","LA_20_2_MinTemp",11,0,100,"Low"
"10",39,"LA11","MinTemp","Steelhead","Smolts","LA11_MinTemp",11,0,100,"Low"
"11",43,"LA13","MinTemp","Steelhead","Smolts","LA13_MinTemp",11,0,100,"Low"
"12",47,"LA14","MinTemp","Steelhead","Smolts","LA14_MinTemp",11,0,100,"Low"
"13",51,"LA2","MinTemp","Steelhead","Smolts","LA2_MinTemp",6,0,100,"Low"
"14",55,"LA20","MinTemp","Steelhead","Smolts","LA20_MinTemp",11,0,100,"Low"
"15",59,"LA3","MinTemp","Steelhead","Smolts","LA3_MinTemp",6,0,100,"Low"
"16",63,"LA8","MinTemp","Steelhead","Smolts","LA8_MinTemp",6,0,100,"Low"
