"","Type","Species","Life_Stage","Hydraulic","Node","ProbabilityThreshold","Position","Limits","Unit","Q_Calculation","TimePeriod","bottom_type","MaxPercentage","MeanPercentage","LimitBound","Flag"
"1","Q_limit","Cladophora","Adult","Depth","11101250","Low","LOB",70.05,"cm","Q >= limit","critical","Soft",30.9966891197625,7.86130958179969,"Lower","N"
"2","Q_limit","Cladophora","Adult","Depth","11101250","Low","ROB",51,"cm","Q >= limit","critical","Soft",34.3646534992579,8.6610522841066,"Lower","N"
"3","Q_limit","Cladophora","Adult","Velocity","11101250","Low","LOB",7260.93,"m","Q >= limit","critical","Soft",0.0114168284050691,0.00162936612733578,"Lower","N"
"4","Q_limit","Cladophora","Adult","Velocity","11101250","Low","MC",1232.47,"m","Q >= limit","critical","Soft",1.5869391483046,0.289591078266764,"Lower","N"
"5","Q_limit","Cladophora","Adult","Velocity","11101250","Low","ROB",6224.61,"m","Q >= limit","critical","Soft",0.0570776255707763,0.00434741035884483,"Lower","N"
"6","Q_limit","Cladophora","Adult","Velocity","11101250","Medium","MC",2287.81,"m","Q >= limit","critical","Soft",1.5869391483046,0.289591078266764,"Lower","N"
"7","Q_limit","Cladophora","Adult","Velocity","11101250","High","MC",3603.18,"m","Q >= limit","critical","Soft",1.5869391483046,0.289591078266764,"Lower","N"
"8","Q_limit","Cladophora","Adult","Velocity","F300","Low","LOB",220.03,"m","Q >= limit","critical","Soft",9.21338052289074,2.76581027436998,"Lower","N"
"9","Q_limit","Cladophora","Adult","Velocity","F300","Low","MC",1.33,"m","Q >= limit","critical","Soft",100,99.8766421296456,"Lower","N"
"10","Q_limit","Cladophora","Adult","Velocity","F300","Low","ROB",220.03,"m","Q >= limit","critical","Soft",9.21338052289074,2.76581027436998,"Lower","N"
"11","Q_limit","Cladophora","Adult","Velocity","F300","Medium","LOB",300.22,"m","Q >= limit","critical","Soft",9.21338052289074,2.76581027436998,"Lower","N"
