"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",2010-01-01,2010,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"2",2011-01-01,2011,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"3",2012-01-01,2012,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"4",2013-01-01,2013,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"5",2014-01-01,2014,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"6",2015-01-01,2015,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"7",2016-01-01,2016,1,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"8",2010-02-01,2010,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"9",2011-02-01,2011,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"10",2012-02-01,2012,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"11",2013-02-01,2013,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"12",2014-02-01,2014,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"13",2015-02-01,2015,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"14",2016-02-01,2016,2,"non_critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"15",2010-03-01,2010,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"16",2011-03-01,2011,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"17",2012-03-01,2012,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"18",2013-03-01,2013,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"19",2014-03-01,2014,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"20",2015-03-01,2015,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"21",2016-03-01,2016,3,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"22",2010-04-01,2010,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"23",2011-04-01,2011,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"24",2012-04-01,2012,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"25",2013-04-01,2013,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"26",2014-04-01,2014,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"27",2015-04-01,2015,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"28",2016-04-01,2016,4,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"29",2010-05-01,2010,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"30",2011-05-01,2011,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"31",2012-05-01,2012,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"32",2013-05-01,2013,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"33",2014-05-01,2014,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"34",2015-05-01,2015,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"35",2016-05-01,2016,5,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"36",2010-06-01,2010,6,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"37",2011-06-01,2011,6,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"38",2012-06-01,2012,6,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
"39",2013-06-01,2013,6,"critical","MC","F34D","Low",0,"Cladophora","Adult","Velocity"
