"","month","water_year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2010,"LOB",31,31,30
"2",1,2010,"MC",31,30,28
"3",1,2010,"ROB",31,31,30
"4",1,2011,"LOB",31,31,29
"5",1,2011,"MC",31,29,29
"6",1,2011,"ROB",31,31,29
"7",1,2012,"LOB",31,31,30
"8",1,2012,"MC",31,30,27
"9",1,2012,"ROB",31,31,30
"10",1,2013,"LOB",31,31,31
"11",1,2013,"MC",31,31,31
"12",1,2013,"ROB",31,31,31
"13",1,2014,"LOB",31,31,30
"14",1,2014,"MC",31,30,27
"15",1,2014,"ROB",31,31,30
"16",1,2015,"LOB",31,30,28
"17",1,2015,"MC",30,27,26
"18",1,2015,"ROB",31,30,28
"19",1,2016,"LOB",30,29,26
"20",1,2016,"MC",29,24,18
"21",1,2016,"ROB",30,29,26
"22",2,2010,"LOB",28,27,25
"23",2,2010,"MC",27,23,21
"24",2,2010,"ROB",28,27,25
"25",2,2011,"LOB",29,29,29
"26",2,2011,"MC",29,29,28
"27",2,2011,"ROB",29,29,29
"28",2,2012,"LOB",28,28,27
"29",2,2012,"MC",28,27,26
"30",2,2012,"ROB",28,28,27
"31",2,2013,"LOB",28,27,26
"32",2,2013,"MC",27,26,24
"33",2,2013,"ROB",28,27,26
"34",2,2014,"LOB",28,28,28
"35",2,2014,"MC",28,27,25
"36",2,2014,"ROB",28,28,28
"37",2,2015,"LOB",29,29,28
"38",2,2015,"MC",29,28,27
"39",2,2015,"ROB",29,29,28
"40",2,2016,"LOB",28,27,24
"41",2,2016,"MC",27,23,16
"42",2,2016,"ROB",28,27,24
"43",3,2010,"LOB",30,30,27
"44",3,2010,"MC",30,27,16
"45",3,2010,"ROB",30,30,27
"46",3,2011,"LOB",31,30,29
"47",3,2011,"MC",30,29,26
"48",3,2011,"ROB",31,30,29
"49",3,2012,"LOB",31,31,30
"50",3,2012,"MC",31,30,29
"51",3,2012,"ROB",31,31,30
"52",3,2013,"LOB",31,31,30
"53",3,2013,"MC",31,30,30
"54",3,2013,"ROB",31,31,30
"55",3,2014,"LOB",31,31,30
"56",3,2014,"MC",31,30,28
"57",3,2014,"ROB",31,31,30
"58",3,2015,"LOB",31,31,28
"59",3,2015,"MC",31,28,28
"60",3,2015,"ROB",31,31,28
"61",3,2016,"LOB",31,31,31
"62",3,2016,"MC",31,31,30
"63",3,2016,"ROB",31,31,31
"64",4,2010,"LOB",30,30,30
"65",4,2010,"MC",30,30,30
"66",4,2010,"ROB",30,30,30
"67",4,2011,"LOB",29,29,28
"68",4,2011,"MC",29,28,25
"69",4,2011,"ROB",29,29,28
"70",4,2012,"LOB",30,30,30
"71",4,2012,"MC",30,30,30
"72",4,2012,"ROB",30,30,30
"73",4,2013,"LOB",30,30,29
"74",4,2013,"MC",30,29,28
"75",4,2013,"ROB",30,30,29
"76",4,2014,"LOB",30,30,30
"77",4,2014,"MC",30,30,29
"78",4,2014,"ROB",30,30,30
"79",4,2015,"LOB",30,30,30
"80",4,2015,"MC",30,30,27
"81",4,2015,"ROB",30,30,30
"82",4,2016,"LOB",30,30,30
"83",4,2016,"MC",30,30,29
"84",4,2016,"ROB",30,30,30
"85",5,2010,"LOB",31,31,31
"86",5,2010,"MC",31,31,28
"87",5,2010,"ROB",31,31,31
"88",5,2011,"LOB",31,31,31
"89",5,2011,"MC",31,31,31
"90",5,2011,"ROB",31,31,31
"91",5,2012,"LOB",31,31,31
"92",5,2012,"MC",31,30,29
"93",5,2012,"ROB",31,31,31
"94",5,2013,"LOB",31,31,31
"95",5,2013,"MC",31,31,31
"96",5,2013,"ROB",31,31,31
"97",5,2014,"LOB",31,31,30
"98",5,2014,"MC",31,30,30
"99",5,2014,"ROB",31,31,30
"100",5,2015,"LOB",31,31,31
"101",5,2015,"MC",31,31,30
"102",5,2015,"ROB",31,31,31
"103",5,2016,"LOB",31,31,31
"104",5,2016,"MC",31,31,30
"105",5,2016,"ROB",31,31,31
"106",6,2010,"LOB",30,30,30
"107",6,2010,"MC",30,30,30
"108",6,2010,"ROB",30,30,30
"109",6,2011,"LOB",30,30,30
"110",6,2011,"MC",30,30,30
"111",6,2011,"ROB",30,30,30
"112",6,2012,"LOB",30,30,30
"113",6,2012,"MC",30,30,30
"114",6,2012,"ROB",30,30,30
"115",6,2013,"LOB",30,30,30
"116",6,2013,"MC",30,30,30
"117",6,2013,"ROB",30,30,30
"118",6,2014,"LOB",30,30,30
"119",6,2014,"MC",30,30,30
"120",6,2014,"ROB",30,30,30
"121",6,2015,"LOB",30,30,30
"122",6,2015,"MC",30,30,30
"123",6,2015,"ROB",30,30,30
"124",6,2016,"LOB",30,30,30
"125",6,2016,"MC",30,30,30
"126",6,2016,"ROB",30,30,30
"127",7,2010,"LOB",31,31,31
"128",7,2010,"MC",31,31,31
"129",7,2010,"ROB",31,31,31
"130",7,2011,"LOB",31,31,31
"131",7,2011,"MC",31,31,31
"132",7,2011,"ROB",31,31,31
"133",7,2012,"LOB",31,31,31
"134",7,2012,"MC",31,31,31
"135",7,2012,"ROB",31,31,31
"136",7,2013,"LOB",31,31,31
"137",7,2013,"MC",31,31,31
"138",7,2013,"ROB",31,31,31
"139",7,2014,"LOB",31,31,31
"140",7,2014,"MC",31,31,31
"141",7,2014,"ROB",31,31,31
"142",7,2015,"LOB",31,31,31
"143",7,2015,"MC",31,31,31
"144",7,2015,"ROB",31,31,31
"145",7,2016,"LOB",31,31,31
"146",7,2016,"MC",31,31,31
"147",7,2016,"ROB",31,31,31
"148",8,2010,"LOB",31,31,31
"149",8,2010,"MC",31,31,31
"150",8,2010,"ROB",31,31,31
"151",8,2011,"LOB",31,31,31
"152",8,2011,"MC",31,31,31
"153",8,2011,"ROB",31,31,31
"154",8,2012,"LOB",31,31,31
"155",8,2012,"MC",31,31,31
"156",8,2012,"ROB",31,31,31
"157",8,2013,"LOB",31,31,31
"158",8,2013,"MC",31,31,31
"159",8,2013,"ROB",31,31,31
"160",8,2014,"LOB",31,31,31
"161",8,2014,"MC",31,31,31
"162",8,2014,"ROB",31,31,31
"163",8,2015,"LOB",31,31,31
"164",8,2015,"MC",31,31,31
"165",8,2015,"ROB",31,31,31
"166",8,2016,"LOB",31,31,31
"167",8,2016,"MC",31,31,31
"168",8,2016,"ROB",31,31,31
"169",9,2010,"LOB",30,30,30
"170",9,2010,"MC",30,30,30
"171",9,2010,"ROB",30,30,30
"172",9,2011,"LOB",30,30,30
"173",9,2011,"MC",30,30,30
"174",9,2011,"ROB",30,30,30
"175",9,2012,"LOB",30,30,30
"176",9,2012,"MC",30,30,30
"177",9,2012,"ROB",30,30,30
"178",9,2013,"LOB",30,30,30
"179",9,2013,"MC",30,30,30
"180",9,2013,"ROB",30,30,30
"181",9,2014,"LOB",30,30,30
"182",9,2014,"MC",30,30,29
"183",9,2014,"ROB",30,30,30
"184",9,2015,"LOB",30,30,30
"185",9,2015,"MC",30,30,30
"186",9,2015,"ROB",30,30,30
"187",9,2016,"LOB",30,30,30
"188",9,2016,"MC",30,30,30
"189",9,2016,"ROB",30,30,30
"190",10,2010,"LOB",30,30,28
"191",10,2010,"MC",30,28,23
"192",10,2010,"ROB",30,30,28
"193",10,2011,"LOB",31,31,30
"194",10,2011,"MC",31,30,30
"195",10,2011,"ROB",31,31,30
"196",10,2012,"LOB",31,31,31
"197",10,2012,"MC",31,31,30
"198",10,2012,"ROB",31,31,31
"199",10,2013,"LOB",31,31,31
"200",10,2013,"MC",31,31,31
"201",10,2013,"ROB",31,31,31
"202",10,2014,"LOB",31,31,30
"203",10,2014,"MC",31,30,30
"204",10,2014,"ROB",31,31,30
"205",10,2015,"LOB",31,31,31
"206",10,2015,"MC",31,31,30
"207",10,2015,"ROB",31,31,31
"208",10,2016,"LOB",31,31,31
"209",10,2016,"MC",31,31,28
"210",10,2016,"ROB",31,31,31
"211",11,2010,"LOB",30,30,29
"212",11,2010,"MC",30,28,26
"213",11,2010,"ROB",30,30,29
"214",11,2011,"LOB",30,30,28
"215",11,2011,"MC",30,27,25
"216",11,2011,"ROB",30,30,28
"217",11,2012,"LOB",30,30,29
"218",11,2012,"MC",30,28,25
"219",11,2012,"ROB",30,30,29
"220",11,2013,"LOB",30,30,30
"221",11,2013,"MC",30,30,27
"222",11,2013,"ROB",30,30,30
"223",11,2014,"LOB",30,30,28
"224",11,2014,"MC",30,28,28
"225",11,2014,"ROB",30,30,28
"226",11,2015,"LOB",30,30,30
"227",11,2015,"MC",30,30,30
"228",11,2015,"ROB",30,30,30
"229",11,2016,"LOB",30,30,28
"230",11,2016,"MC",30,27,27
"231",11,2016,"ROB",30,30,28
"232",12,2010,"LOB",31,30,22
"233",12,2010,"MC",31,22,20
"234",12,2010,"ROB",31,30,22
"235",12,2011,"LOB",31,31,30
"236",12,2011,"MC",31,30,27
"237",12,2011,"ROB",31,31,30
"238",12,2012,"LOB",31,31,30
"239",12,2012,"MC",31,29,19
"240",12,2012,"ROB",31,31,30
"241",12,2013,"LOB",31,31,31
"242",12,2013,"MC",31,30,29
"243",12,2013,"ROB",31,31,31
"244",12,2014,"LOB",31,29,29
"245",12,2014,"MC",30,28,24
"246",12,2014,"ROB",31,29,29
"247",12,2015,"LOB",31,31,29
"248",12,2015,"MC",31,29,26
"249",12,2015,"ROB",31,31,29
"250",12,2016,"LOB",31,30,25
"251",12,2016,"MC",30,24,23
"252",12,2016,"ROB",31,30,25
