"","season","position","water_year","Node","Season","value","Species","Life_Stage","Hydraulic"
"1","non_critical","LOB",2010,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"2","critical","LOB",2010,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"3","non_critical","LOB",2011,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"4","critical","LOB",2011,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"5","non_critical","LOB",2012,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"6","critical","LOB",2012,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"7","non_critical","LOB",2013,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"8","critical","LOB",2013,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"9","non_critical","LOB",2014,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"10","critical","LOB",2014,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"11","non_critical","LOB",2015,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"12","critical","LOB",2015,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"13","non_critical","LOB",2016,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"14","critical","LOB",2016,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"15","non_critical","MC",2010,"LA13","Seasonal",99.8910378643421,"Steelhead","Migration","Velocity"
"16","critical","MC",2010,"LA13","Seasonal",98.7814465408805,"Steelhead","Migration","Velocity"
"17","non_critical","MC",2011,"LA13","Seasonal",99.6732026143791,"Steelhead","Migration","Velocity"
"18","critical","MC",2011,"LA13","Seasonal",99.5696400625978,"Steelhead","Migration","Velocity"
"19","non_critical","MC",2012,"LA13","Seasonal",100,"Steelhead","Migration","Velocity"
"20","critical","MC",2012,"LA13","Seasonal",99.7838050314465,"Steelhead","Migration","Velocity"
"21","non_critical","MC",2013,"LA13","Seasonal",100,"Steelhead","Migration","Velocity"
"22","critical","MC",2013,"LA13","Seasonal",99.6658805031446,"Steelhead","Migration","Velocity"
"23","non_critical","MC",2014,"LA13","Seasonal",99.9183006535948,"Steelhead","Migration","Velocity"
"24","critical","MC",2014,"LA13","Seasonal",99.7248427672956,"Steelhead","Migration","Velocity"
"25","non_critical","MC",2015,"LA13","Seasonal",100,"Steelhead","Migration","Velocity"
"26","critical","MC",2015,"LA13","Seasonal",99.6087636932707,"Steelhead","Migration","Velocity"
"27","non_critical","MC",2016,"LA13","Seasonal",99.9183006535948,"Steelhead","Migration","Velocity"
"28","critical","MC",2016,"LA13","Seasonal",99.0762578616352,"Steelhead","Migration","Velocity"
"29","non_critical","ROB",2010,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"30","critical","ROB",2010,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"31","non_critical","ROB",2011,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"32","critical","ROB",2011,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"33","non_critical","ROB",2012,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"34","critical","ROB",2012,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"35","non_critical","ROB",2013,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"36","critical","ROB",2013,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"37","non_critical","ROB",2014,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"38","critical","ROB",2014,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"39","non_critical","ROB",2015,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"40","critical","ROB",2015,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"41","non_critical","ROB",2016,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
"42","critical","ROB",2016,"LA13","Seasonal",0,"Steelhead","Migration","Velocity"
