"","season","position","water_year","Node","Probability_Threshold","value","Species","Life_Stage","Hydraulic"
"1","summer","LOB",2010,"LA14","Low",100,"SAS","Adult","Depth"
"2","winter","LOB",2010,"LA14","Low",100,"SAS","Adult","Depth"
"3","summer","LOB",2011,"LA14","Low",100,"SAS","Adult","Depth"
"4","winter","LOB",2011,"LA14","Low",100,"SAS","Adult","Depth"
"5","summer","LOB",2012,"LA14","Low",100,"SAS","Adult","Depth"
"6","winter","LOB",2012,"LA14","Low",100,"SAS","Adult","Depth"
"7","summer","LOB",2013,"LA14","Low",100,"SAS","Adult","Depth"
"8","winter","LOB",2013,"LA14","Low",100,"SAS","Adult","Depth"
"9","summer","LOB",2014,"LA14","Low",100,"SAS","Adult","Depth"
"10","winter","LOB",2014,"LA14","Low",100,"SAS","Adult","Depth"
"11","summer","LOB",2015,"LA14","Low",100,"SAS","Adult","Depth"
"12","winter","LOB",2015,"LA14","Low",100,"SAS","Adult","Depth"
"13","summer","LOB",2016,"LA14","Low",100,"SAS","Adult","Depth"
"14","winter","LOB",2016,"LA14","Low",100,"SAS","Adult","Depth"
"15","summer","MC",2010,"LA14","Low",100,"SAS","Adult","Depth"
"16","winter","MC",2010,"LA14","Low",100,"SAS","Adult","Depth"
"17","summer","MC",2011,"LA14","Low",100,"SAS","Adult","Depth"
"18","winter","MC",2011,"LA14","Low",100,"SAS","Adult","Depth"
"19","summer","MC",2012,"LA14","Low",100,"SAS","Adult","Depth"
"20","winter","MC",2012,"LA14","Low",100,"SAS","Adult","Depth"
"21","summer","MC",2013,"LA14","Low",100,"SAS","Adult","Depth"
"22","winter","MC",2013,"LA14","Low",100,"SAS","Adult","Depth"
"23","summer","MC",2014,"LA14","Low",100,"SAS","Adult","Depth"
"24","winter","MC",2014,"LA14","Low",100,"SAS","Adult","Depth"
"25","summer","MC",2015,"LA14","Low",100,"SAS","Adult","Depth"
"26","winter","MC",2015,"LA14","Low",100,"SAS","Adult","Depth"
"27","summer","MC",2016,"LA14","Low",100,"SAS","Adult","Depth"
"28","winter","MC",2016,"LA14","Low",100,"SAS","Adult","Depth"
"29","summer","ROB",2010,"LA14","Low",100,"SAS","Adult","Depth"
"30","winter","ROB",2010,"LA14","Low",100,"SAS","Adult","Depth"
"31","summer","ROB",2011,"LA14","Low",100,"SAS","Adult","Depth"
