"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"non_critical","LOB","Low",0
"2",2011-01-01,2011,1,"non_critical","MC","Low",30
"3",2011-01-01,2011,1,"non_critical","ROB","Low",0
"4",2012-01-01,2012,1,"non_critical","LOB","Low",0
"5",2012-01-01,2012,1,"non_critical","MC","Low",29
"6",2012-01-01,2012,1,"non_critical","ROB","Low",0
"7",2013-01-01,2013,1,"non_critical","LOB","Low",0
"8",2013-01-01,2013,1,"non_critical","MC","Low",30
"9",2013-01-01,2013,1,"non_critical","ROB","Low",0
"10",2014-01-01,2014,1,"non_critical","LOB","Low",0
"11",2014-01-01,2014,1,"non_critical","MC","Low",31
"12",2014-01-01,2014,1,"non_critical","ROB","Low",0
"13",2015-01-01,2015,1,"non_critical","LOB","Low",0
"14",2015-01-01,2015,1,"non_critical","MC","Low",31
"15",2015-01-01,2015,1,"non_critical","ROB","Low",0
"16",2016-01-01,2016,1,"non_critical","LOB","Low",0
"17",2016-01-01,2016,1,"non_critical","MC","Low",28
"18",2016-01-01,2016,1,"non_critical","ROB","Low",0
"19",2017-01-01,2017,1,"non_critical","LOB","Low",0
"20",2017-01-01,2017,1,"non_critical","MC","Low",26
"21",2017-01-01,2017,1,"non_critical","ROB","Low",0
"22",2011-02-01,2011,2,"non_critical","LOB","Low",0
"23",2011-02-01,2011,2,"non_critical","MC","Low",24
"24",2011-02-01,2011,2,"non_critical","ROB","Low",0
"25",2012-02-01,2012,2,"non_critical","LOB","Low",0
"26",2012-02-01,2012,2,"non_critical","MC","Low",29
"27",2012-02-01,2012,2,"non_critical","ROB","Low",0
"28",2013-02-01,2013,2,"non_critical","LOB","Low",0
"29",2013-02-01,2013,2,"non_critical","MC","Low",27
"30",2013-02-01,2013,2,"non_critical","ROB","Low",0
"31",2014-02-01,2014,2,"non_critical","LOB","Low",0
"32",2014-02-01,2014,2,"non_critical","MC","Low",26
"33",2014-02-01,2014,2,"non_critical","ROB","Low",0
"34",2015-02-01,2015,2,"non_critical","LOB","Low",0
"35",2015-02-01,2015,2,"non_critical","MC","Low",28
"36",2015-02-01,2015,2,"non_critical","ROB","Low",0
"37",2016-02-01,2016,2,"non_critical","LOB","Low",0
"38",2016-02-01,2016,2,"non_critical","MC","Low",28
"39",2016-02-01,2016,2,"non_critical","ROB","Low",0
"40",2017-02-01,2017,2,"non_critical","LOB","Low",0
"41",2017-02-01,2017,2,"non_critical","MC","Low",25
"42",2017-02-01,2017,2,"non_critical","ROB","Low",0
"43",2011-03-01,2011,3,"critical","LOB","Low",0
"44",2011-03-01,2011,3,"critical","MC","Low",27
"45",2011-03-01,2011,3,"critical","ROB","Low",0
"46",2012-03-01,2012,3,"critical","LOB","Low",0
"47",2012-03-01,2012,3,"critical","MC","Low",29
"48",2012-03-01,2012,3,"critical","ROB","Low",0
"49",2013-03-01,2013,3,"critical","LOB","Low",0
"50",2013-03-01,2013,3,"critical","MC","Low",30
"51",2013-03-01,2013,3,"critical","ROB","Low",0
"52",2014-03-01,2014,3,"critical","LOB","Low",0
"53",2014-03-01,2014,3,"critical","MC","Low",30
"54",2014-03-01,2014,3,"critical","ROB","Low",0
"55",2015-03-01,2015,3,"critical","LOB","Low",0
"56",2015-03-01,2015,3,"critical","MC","Low",30
"57",2015-03-01,2015,3,"critical","ROB","Low",0
"58",2016-03-01,2016,3,"critical","LOB","Low",0
"59",2016-03-01,2016,3,"critical","MC","Low",28
"60",2016-03-01,2016,3,"critical","ROB","Low",0
"61",2017-03-01,2017,3,"critical","LOB","Low",0
"62",2017-03-01,2017,3,"critical","MC","Low",31
"63",2017-03-01,2017,3,"critical","ROB","Low",0
"64",2011-04-01,2011,4,"critical","LOB","Low",0
"65",2011-04-01,2011,4,"critical","MC","Low",30
"66",2011-04-01,2011,4,"critical","ROB","Low",0
"67",2012-04-01,2012,4,"critical","LOB","Low",0
"68",2012-04-01,2012,4,"critical","MC","Low",28
"69",2012-04-01,2012,4,"critical","ROB","Low",0
"70",2013-04-01,2013,4,"critical","LOB","Low",0
"71",2013-04-01,2013,4,"critical","MC","Low",30
"72",2013-04-01,2013,4,"critical","ROB","Low",0
"73",2014-04-01,2014,4,"critical","LOB","Low",0
"74",2014-04-01,2014,4,"critical","MC","Low",30
"75",2014-04-01,2014,4,"critical","ROB","Low",0
"76",2015-04-01,2015,4,"critical","LOB","Low",0
"77",2015-04-01,2015,4,"critical","MC","Low",30
"78",2015-04-01,2015,4,"critical","ROB","Low",0
"79",2016-04-01,2016,4,"critical","LOB","Low",0
"80",2016-04-01,2016,4,"critical","MC","Low",30
"81",2016-04-01,2016,4,"critical","ROB","Low",0
"82",2017-04-01,2017,4,"critical","LOB","Low",0
"83",2017-04-01,2017,4,"critical","MC","Low",30
"84",2017-04-01,2017,4,"critical","ROB","Low",0
"85",2011-05-01,2011,5,"critical","LOB","Low",0
"86",2011-05-01,2011,5,"critical","MC","Low",31
"87",2011-05-01,2011,5,"critical","ROB","Low",0
"88",2012-05-01,2012,5,"critical","LOB","Low",0
"89",2012-05-01,2012,5,"critical","MC","Low",31
"90",2012-05-01,2012,5,"critical","ROB","Low",0
"91",2013-05-01,2013,5,"critical","LOB","Low",0
"92",2013-05-01,2013,5,"critical","MC","Low",31
"93",2013-05-01,2013,5,"critical","ROB","Low",0
"94",2014-05-01,2014,5,"critical","LOB","Low",0
"95",2014-05-01,2014,5,"critical","MC","Low",31
"96",2014-05-01,2014,5,"critical","ROB","Low",0
"97",2015-05-01,2015,5,"critical","LOB","Low",0
"98",2015-05-01,2015,5,"critical","MC","Low",30
"99",2015-05-01,2015,5,"critical","ROB","Low",0
"100",2016-05-01,2016,5,"critical","LOB","Low",0
"101",2016-05-01,2016,5,"critical","MC","Low",31
"102",2016-05-01,2016,5,"critical","ROB","Low",0
"103",2017-05-01,2017,5,"critical","LOB","Low",0
"104",2017-05-01,2017,5,"critical","MC","Low",31
"105",2017-05-01,2017,5,"critical","ROB","Low",0
"106",2011-06-01,2011,6,"critical","LOB","Low",0
"107",2011-06-01,2011,6,"critical","MC","Low",30
"108",2011-06-01,2011,6,"critical","ROB","Low",0
"109",2012-06-01,2012,6,"critical","LOB","Low",0
"110",2012-06-01,2012,6,"critical","MC","Low",30
"111",2012-06-01,2012,6,"critical","ROB","Low",0
"112",2013-06-01,2013,6,"critical","LOB","Low",0
"113",2013-06-01,2013,6,"critical","MC","Low",30
"114",2013-06-01,2013,6,"critical","ROB","Low",0
"115",2014-06-01,2014,6,"critical","LOB","Low",0
"116",2014-06-01,2014,6,"critical","MC","Low",30
"117",2014-06-01,2014,6,"critical","ROB","Low",0
"118",2015-06-01,2015,6,"critical","LOB","Low",0
"119",2015-06-01,2015,6,"critical","MC","Low",30
"120",2015-06-01,2015,6,"critical","ROB","Low",0
"121",2016-06-01,2016,6,"critical","LOB","Low",0
"122",2016-06-01,2016,6,"critical","MC","Low",30
"123",2016-06-01,2016,6,"critical","ROB","Low",0
"124",2017-06-01,2017,6,"critical","LOB","Low",0
"125",2017-06-01,2017,6,"critical","MC","Low",30
"126",2017-06-01,2017,6,"critical","ROB","Low",0
"127",2011-07-01,2011,7,"critical","LOB","Low",0
"128",2011-07-01,2011,7,"critical","MC","Low",31
"129",2011-07-01,2011,7,"critical","ROB","Low",0
"130",2012-07-01,2012,7,"critical","LOB","Low",0
"131",2012-07-01,2012,7,"critical","MC","Low",31
"132",2012-07-01,2012,7,"critical","ROB","Low",0
"133",2013-07-01,2013,7,"critical","LOB","Low",0
"134",2013-07-01,2013,7,"critical","MC","Low",31
"135",2013-07-01,2013,7,"critical","ROB","Low",0
"136",2014-07-01,2014,7,"critical","LOB","Low",0
"137",2014-07-01,2014,7,"critical","MC","Low",31
"138",2014-07-01,2014,7,"critical","ROB","Low",0
"139",2015-07-01,2015,7,"critical","LOB","Low",0
"140",2015-07-01,2015,7,"critical","MC","Low",31
"141",2015-07-01,2015,7,"critical","ROB","Low",0
"142",2016-07-01,2016,7,"critical","LOB","Low",0
"143",2016-07-01,2016,7,"critical","MC","Low",31
"144",2016-07-01,2016,7,"critical","ROB","Low",0
"145",2017-07-01,2017,7,"critical","LOB","Low",0
"146",2017-07-01,2017,7,"critical","MC","Low",31
"147",2017-07-01,2017,7,"critical","ROB","Low",0
"148",2011-08-01,2011,8,"non_critical","LOB","Low",0
"149",2011-08-01,2011,8,"non_critical","MC","Low",31
