"","season","position","water_year","Season","value","Species","Life_Stage","Hydraulic","Node"
"1","non_critical","ROB",2010,"Seasonal","95.1144516569867","Steelhead","Smolts","Velocity","F300"
"2","critical","ROB",2010,"Seasonal","83.0761316872428","Steelhead","Smolts","Velocity","F300"
"3","non_critical","ROB",2011,"Seasonal","96.379781420765","Steelhead","Smolts","Velocity","F300"
"4","critical","ROB",2011,"Seasonal","96.8579234972678","Steelhead","Smolts","Velocity","F300"
"5","non_critical","ROB",2012,"Seasonal","96.8237704918033","Steelhead","Smolts","Velocity","F300"
"6","critical","ROB",2012,"Seasonal","94.5473251028807","Steelhead","Smolts","Velocity","F300"
"7","non_critical","ROB",2013,"Seasonal","98.7363387978142","Steelhead","Smolts","Velocity","F300"
"8","critical","ROB",2013,"Seasonal","98.09670781893","Steelhead","Smolts","Velocity","F300"
"9","non_critical","ROB",2014,"Seasonal","98.9754098360656","Steelhead","Smolts","Velocity","F300"
"10","critical","ROB",2014,"Seasonal","96.0048010973937","Steelhead","Smolts","Velocity","F300"
"11","non_critical","ROB",2015,"Seasonal","99.6243169398907","Steelhead","Smolts","Velocity","F300"
"12","critical","ROB",2015,"Seasonal","96.516393442623","Steelhead","Smolts","Velocity","F300"
"13","non_critical","ROB",2016,"Seasonal","98.155737704918","Steelhead","Smolts","Velocity","F300"
"14","critical","ROB",2016,"Seasonal","80.7098765432099","Steelhead","Smolts","Velocity","F300"
"15","non_critical","ROB",2010,"Node","F300","Steelhead","Smolts","Velocity","F300"
"16","critical","ROB",2010,"Node","F300","Steelhead","Smolts","Velocity","F300"
"17","non_critical","ROB",2011,"Node","F300","Steelhead","Smolts","Velocity","F300"
"18","critical","ROB",2011,"Node","F300","Steelhead","Smolts","Velocity","F300"
"19","non_critical","ROB",2012,"Node","F300","Steelhead","Smolts","Velocity","F300"
"20","critical","ROB",2012,"Node","F300","Steelhead","Smolts","Velocity","F300"
"21","non_critical","ROB",2013,"Node","F300","Steelhead","Smolts","Velocity","F300"
"22","critical","ROB",2013,"Node","F300","Steelhead","Smolts","Velocity","F300"
"23","non_critical","ROB",2014,"Node","F300","Steelhead","Smolts","Velocity","F300"
"24","critical","ROB",2014,"Node","F300","Steelhead","Smolts","Velocity","F300"
"25","non_critical","ROB",2015,"Node","F300","Steelhead","Smolts","Velocity","F300"
"26","critical","ROB",2015,"Node","F300","Steelhead","Smolts","Velocity","F300"
"27","non_critical","ROB",2016,"Node","F300","Steelhead","Smolts","Velocity","F300"
"28","critical","ROB",2016,"Node","F300","Steelhead","Smolts","Velocity","F300"
